Time, Accel X [mg],Accel Y [mg],Accel Z [mg],dRoll [deg/s],dPitch [deg/s],dHeading [deg/s],Roll [deg],Pitch [deg],Yaw [deg],Frequency Reader Frequency [Hz], Calibrated Velocity [m/s],Pressure Sensor Depth [m],State Estimator X [m],State Estimator Y [m],State Estimator Z [m],State Estimator Roll [rad],State Estimator Pitch [rad],State Estimator Yaw [rad],Motor A, Motor B, Motor C, Motor D, Motor E,Servo Angle [rad],Waypoint X [m], Waypoint Y [m], Waypoint Z [m], Waiting [bool]
154579,1.454,-1.996,0.369,0.002,0.015,0.006,0.000,0.000,0.000,0.003,0.044,0.329,0.001,0.000,0.345,0.000,0.000,0.000,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154590,1.446,-1.992,0.370,0.003,0.015,0.006,0.000,0.000,0.000,0.003,0.044,0.329,0.002,0.000,0.361,0.000,0.000,0.000,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154601,1.442,-1.999,0.360,0.005,0.016,0.006,0.000,0.000,0.000,0.003,0.044,0.345,0.003,0.000,0.329,0.000,0.000,0.000,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154612,1.452,-1.976,0.323,0.007,0.017,0.007,0.000,0.001,0.000,0.003,0.044,0.345,0.004,0.000,0.329,0.000,0.000,0.000,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154623,1.446,-1.952,0.305,0.016,0.024,0.012,0.000,0.001,0.000,0.003,0.044,0.329,0.005,0.000,0.329,0.000,0.001,0.000,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154634,1.480,-1.919,0.409,0.019,0.027,0.021,0.000,0.001,0.000,0.003,0.044,0.329,0.006,0.000,0.345,0.000,0.001,0.000,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154645,1.438,-1.984,0.285,0.019,0.023,0.018,0.001,0.001,0.001,0.003,0.044,0.329,0.007,0.000,0.345,0.000,0.001,0.000,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154656,1.393,-2.001,0.263,0.035,0.039,0.024,0.001,0.002,0.001,0.003,0.044,0.329,0.008,0.000,0.329,0.001,0.001,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154667,1.466,-1.909,0.420,0.044,0.042,0.033,0.001,0.002,0.001,0.003,0.044,0.345,0.009,0.000,0.329,0.001,0.002,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154678,1.449,-1.971,0.424,0.039,0.035,0.024,0.002,0.003,0.001,0.003,0.044,0.329,0.010,0.000,0.329,0.001,0.002,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154689,1.468,-1.994,0.509,0.035,0.039,0.018,0.002,0.003,0.002,0.003,0.044,0.329,0.011,0.000,0.345,0.002,0.003,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154700,1.486,-2.042,0.330,0.016,0.028,-0.001,0.002,0.003,0.002,0.003,0.044,0.329,0.012,0.000,0.345,0.002,0.003,0.002,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154711,1.415,-1.982,0.412,0.012,0.034,-0.004,0.002,0.004,0.002,0.003,0.044,0.313,0.013,0.000,0.329,0.002,0.003,0.002,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154722,1.512,-1.930,0.602,-0.009,0.017,-0.005,0.002,0.004,0.002,0.003,0.044,0.345,0.014,0.000,0.313,0.002,0.004,0.002,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154733,1.371,-2.108,0.419,-0.033,-0.006,-0.032,0.002,0.004,0.001,0.003,0.044,0.329,0.015,0.000,0.345,0.002,0.004,0.002,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154744,1.333,-2.151,0.384,-0.041,-0.013,-0.046,0.002,0.004,0.001,0.003,0.044,0.345,0.016,0.000,0.329,0.002,0.004,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154755,1.363,-2.039,0.475,-0.049,-0.022,-0.057,0.001,0.003,0.000,0.003,0.044,0.329,0.017,0.000,0.345,0.002,0.004,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154766,1.323,-2.050,0.463,-0.063,-0.040,-0.083,0.000,0.003,-0.001,0.003,0.044,0.329,0.018,0.000,0.345,0.001,0.003,0.000,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154777,1.373,-1.951,0.464,-0.059,-0.051,-0.088,-0.000,0.002,-0.002,0.003,0.044,0.361,0.019,0.000,0.329,0.000,0.003,-0.001,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154788,1.438,-2.011,0.355,-0.067,-0.060,-0.098,-0.001,0.002,-0.003,0.003,0.044,0.345,0.020,0.000,0.329,-0.000,0.002,-0.002,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154799,1.482,-1.994,0.340,-0.070,-0.055,-0.097,-0.001,0.001,-0.003,0.003,0.044,0.345,0.021,0.000,0.329,-0.001,0.002,-0.003,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154810,1.482,-1.923,0.339,-0.072,-0.049,-0.086,-0.002,0.001,-0.004,0.003,0.044,0.345,0.022,0.000,0.345,-0.001,0.001,-0.003,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154821,1.501,-1.889,0.334,-0.071,-0.040,-0.076,-0.003,0.000,-0.005,0.003,0.044,0.329,0.023,-0.000,0.329,-0.002,0.001,-0.004,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154832,1.533,-1.902,0.329,-0.069,-0.034,-0.056,-0.004,0.000,-0.006,0.003,0.044,0.345,0.024,-0.000,0.345,-0.003,0.000,-0.005,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154843,1.529,-1.881,0.193,-0.065,-0.023,-0.037,-0.004,-0.000,-0.006,0.003,0.044,0.329,0.025,-0.000,0.329,-0.004,0.000,-0.006,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154854,1.604,-1.884,0.290,-0.054,0.000,-0.012,-0.005,-0.000,-0.006,0.003,0.044,0.345,0.026,-0.000,0.345,-0.004,-0.000,-0.006,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154865,1.541,-1.887,0.225,-0.037,0.028,0.031,-0.005,0.000,-0.006,0.003,0.044,0.345,0.027,-0.000,0.329,-0.005,-0.000,-0.006,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154876,1.517,-1.892,0.290,-0.020,0.039,0.056,-0.005,0.001,-0.005,0.003,0.044,0.329,0.028,-0.000,0.345,-0.005,0.000,-0.006,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154887,1.515,-1.936,0.292,-0.011,0.048,0.068,-0.005,0.001,-0.005,0.003,0.044,0.345,0.029,-0.000,0.329,-0.005,0.001,-0.005,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154898,1.546,-1.975,0.224,0.001,0.057,0.078,-0.005,0.002,-0.004,0.003,0.044,0.329,0.030,-0.000,0.345,-0.005,0.001,-0.005,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154909,1.515,-1.910,0.326,0.016,0.073,0.095,-0.005,0.002,-0.003,0.003,0.044,0.313,0.031,-0.000,0.345,-0.005,0.002,-0.004,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154920,1.533,-1.905,0.324,0.021,0.071,0.100,-0.005,0.003,-0.002,0.003,0.044,0.329,0.032,-0.000,0.345,-0.005,0.002,-0.003,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154931,1.475,-1.948,0.304,0.033,0.075,0.104,-0.005,0.004,-0.001,0.003,0.044,0.329,0.033,-0.000,0.329,-0.005,0.003,-0.002,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
154942,1.505,-1.945,0.365,0.044,0.078,0.109,-0.004,0.005,0.000,0.003,0.044,0.329,0.034,-0.000,0.329,-0.005,0.004,-0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154953,1.479,-1.950,0.324,0.060,0.076,0.103,-0.004,0.005,0.001,0.003,0.044,0.345,0.035,-0.000,0.361,-0.004,0.005,0.000,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154964,1.506,-1.885,0.378,0.069,0.079,0.103,-0.003,0.006,0.002,0.003,0.044,0.345,0.036,-0.000,0.329,-0.004,0.005,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154975,1.519,-1.892,0.399,0.072,0.076,0.098,-0.002,0.007,0.003,0.003,0.044,0.329,0.037,-0.000,0.313,-0.003,0.006,0.002,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154986,1.461,-1.935,0.345,0.077,0.075,0.093,-0.002,0.008,0.004,0.003,0.044,0.329,0.038,-0.000,0.345,-0.002,0.007,0.003,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
154997,1.546,-1.905,0.443,0.077,0.078,0.092,-0.001,0.008,0.005,0.003,0.044,0.345,0.039,-0.000,0.329,-0.002,0.008,0.004,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155008,1.509,-1.946,0.422,0.067,0.073,0.077,-0.000,0.009,0.006,0.003,0.044,0.313,0.040,-0.000,0.313,-0.001,0.008,0.005,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155019,1.512,-1.952,0.378,0.057,0.073,0.066,0.000,0.010,0.007,0.003,0.044,0.329,0.041,-0.000,0.345,-0.000,0.009,0.006,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155030,1.507,-1.891,0.444,0.050,0.073,0.059,0.001,0.011,0.007,0.003,0.044,0.329,0.042,-0.000,0.313,0.000,0.010,0.007,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155041,1.479,-1.926,0.457,0.035,0.068,0.046,0.001,0.011,0.008,0.003,0.044,0.329,0.043,-0.000,0.313,0.001,0.011,0.007,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155052,1.445,-2.003,0.436,0.006,0.044,0.015,0.001,0.012,0.008,0.003,0.044,0.329,0.044,-0.000,0.329,0.001,0.011,0.008,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155063,1.391,-1.997,0.494,-0.010,0.027,-0.007,0.001,0.012,0.008,0.003,0.044,0.329,0.045,0.000,0.345,0.001,0.012,0.008,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155074,1.393,-2.027,0.450,-0.025,0.011,-0.034,0.001,0.012,0.007,0.003,0.044,0.345,0.046,0.000,0.329,0.001,0.012,0.008,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155085,1.395,-1.958,0.455,-0.036,-0.004,-0.055,0.001,0.012,0.007,0.003,0.044,0.329,0.047,0.000,0.361,0.001,0.012,0.007,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155096,1.437,-1.919,0.454,-0.045,-0.016,-0.073,0.000,0.012,0.006,0.003,0.044,0.329,0.048,0.000,0.345,0.001,0.012,0.007,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155107,1.460,-1.915,0.401,-0.056,-0.027,-0.086,-0.000,0.012,0.005,0.003,0.044,0.329,0.049,0.000,0.329,0.000,0.012,0.006,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155118,1.420,-1.901,0.436,-0.066,-0.035,-0.093,-0.001,0.011,0.004,0.003,0.044,0.345,0.050,0.000,0.329,-0.000,0.012,0.005,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155129,1.477,-1.913,0.406,-0.077,-0.039,-0.103,-0.002,0.011,0.003,0.003,0.044,0.345,0.051,0.000,0.329,-0.001,0.011,0.004,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155140,1.449,-1.883,0.395,-0.088,-0.043,-0.106,-0.003,0.010,0.002,0.003,0.044,0.329,0.051,0.000,0.345,-0.002,0.011,0.003,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155151,1.481,-1.909,0.347,-0.092,-0.043,-0.111,-0.004,0.010,0.001,0.003,0.044,0.345,0.052,0.000,0.345,-0.003,0.010,0.002,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155162,1.477,-1.908,0.381,-0.092,-0.042,-0.106,-0.004,0.010,0.000,0.003,0.044,0.345,0.053,0.000,0.329,-0.004,0.010,0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
155173,1.401,-1.917,0.463,-0.096,-0.046,-0.111,-0.005,0.009,-0.001,0.003,0.044,0.329,0.054,0.000,0.329,-0.004,0.010,0.000,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155184,1.495,-2.000,0.358,-0.104,-0.055,-0.123,-0.006,0.009,-0.002,0.003,0.044,0.345,0.055,0.000,0.345,-0.005,0.009,-0.001,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155195,1.470,-1.963,0.382,-0.104,-0.053,-0.126,-0.008,0.008,-0.004,0.003,0.044,0.329,0.056,0.000,0.329,-0.006,0.009,-0.002,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155206,1.495,-1.919,0.424,-0.109,-0.056,-0.128,-0.009,0.008,-0.005,0.003,0.044,0.345,0.057,0.000,0.345,-0.008,0.008,-0.004,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155217,1.525,-1.890,0.354,-0.110,-0.060,-0.131,-0.010,0.007,-0.006,0.003,0.044,0.329,0.058,0.000,0.345,-0.009,0.008,-0.005,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155228,1.571,-1.816,0.278,-0.102,-0.040,-0.099,-0.011,0.007,-0.007,0.003,0.044,0.345,0.059,0.000,0.345,-0.010,0.007,-0.006,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155239,1.680,-1.813,0.276,-0.103,-0.033,-0.082,-0.012,0.006,-0.008,0.003,0.044,0.345,0.060,0.000,0.345,-0.011,0.007,-0.007,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155250,1.769,-1.822,0.281,-0.102,-0.018,-0.059,-0.013,0.006,-0.009,0.003,0.044,0.345,0.062,0.000,0.329,-0.012,0.006,-0.008,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155261,1.641,-1.826,0.218,-0.098,-0.006,-0.038,-0.014,0.006,-0.009,0.003,0.044,0.345,0.062,0.000,0.329,-0.013,0.006,-0.009,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155272,1.696,-1.829,0.201,-0.088,0.011,-0.016,-0.015,0.006,-0.009,0.003,0.044,0.345,0.063,-0.000,0.313,-0.014,0.006,-0.009,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155283,1.661,-1.794,0.251,-0.072,0.021,0.009,-0.015,0.006,-0.009,0.003,0.044,0.329,0.065,-0.000,0.345,-0.015,0.006,-0.009,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155294,1.604,-1.843,0.299,-0.059,0.024,0.022,-0.016,0.007,-0.009,0.003,0.044,0.329,0.065,-0.000,0.345,-0.015,0.006,-0.009,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155305,1.759,-1.879,0.213,-0.045,0.035,0.035,-0.016,0.007,-0.008,0.003,0.044,0.329,0.066,-0.000,0.345,-0.016,0.007,-0.009,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155316,1.686,-1.861,0.215,-0.028,0.046,0.056,-0.017,0.007,-0.008,0.003,0.044,0.329,0.068,-0.000,0.329,-0.016,0.007,-0.008,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155327,1.680,-1.862,0.321,-0.011,0.059,0.071,-0.017,0.008,-0.007,0.003,0.044,0.345,0.068,-0.000,0.329,-0.017,0.007,-0.008,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155338,1.604,-1.856,0.381,-0.001,0.056,0.079,-0.017,0.009,-0.006,0.003,0.044,0.329,0.069,-0.000,0.313,-0.017,0.008,-0.007,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155349,1.661,-1.923,0.294,0.003,0.056,0.068,-0.017,0.009,-0.006,0.003,0.044,0.329,0.071,-0.000,0.345,-0.017,0.009,-0.006,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155360,1.669,-1.911,0.309,0.023,0.065,0.075,-0.017,0.010,-0.005,0.003,0.044,0.329,0.071,-0.000,0.345,-0.017,0.009,-0.006,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155371,1.646,-1.823,0.397,0.032,0.071,0.076,-0.016,0.010,-0.004,0.003,0.044,0.345,0.072,-0.000,0.329,-0.017,0.010,-0.005,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155382,1.681,-1.837,0.363,0.030,0.070,0.066,-0.016,0.011,-0.004,0.003,0.044,0.345,0.073,-0.000,0.361,-0.016,0.010,-0.004,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155393,1.611,-1.880,0.327,0.049,0.084,0.072,-0.015,0.012,-0.003,0.003,0.044,0.345,0.074,-0.000,0.329,-0.016,0.011,-0.004,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155404,1.619,-1.858,0.360,0.056,0.098,0.065,-0.015,0.013,-0.002,0.003,0.044,0.345,0.075,-0.000,0.329,-0.015,0.012,-0.003,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155415,1.595,-1.878,0.320,0.065,0.112,0.064,-0.014,0.014,-0.002,0.003,0.044,0.345,0.076,-0.000,0.345,-0.015,0.013,-0.002,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155426,1.619,-1.764,0.466,0.067,0.120,0.065,-0.014,0.015,-0.001,0.003,0.044,0.329,0.077,-0.000,0.345,-0.014,0.014,-0.002,0,0,0,0,0,0.725,0.000,0.000,1.000,1.000
155437,1.641,-1.816,0.357,0.065,0.123,0.056,-0.013,0.017,-0.000,0.003,0.044,0.329,0.078,-0.000,0.329,-0.014,0.015,-0.001,0,0,0,0,0,1.892,0.000,0.000,1.000,1.000
