Time, Accel X [mg],Accel Y [mg],Accel Z [mg],dRoll [deg/s],dPitch [deg/s],dHeading [deg/s],Roll [deg],Pitch [deg],Yaw [deg],Frequency Reader Frequency [Hz], Calibrated Velocity [m/s],Pressure Sensor Depth [m],State Estimator X [m],State Estimator Y [m],State Estimator Z [m],State Estimator Roll [rad],State Estimator Pitch [rad],State Estimator Yaw [rad],Motor A, Motor B, Motor C, Motor D, Motor E,Servo Angle [rad],Waypoint X [m], Waypoint Y [m], Waypoint Z [m], Waiting [bool]
184584,-1.167,0.682,-9.739,-0.034,0.005,0.042,-0.000,0.000,0.000,0.003,0.044,0.377,0.001,0.000,0.361,0.000,0.000,0.000,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184595,-1.184,0.694,-9.716,-0.036,0.001,0.042,-0.001,0.000,0.001,0.003,0.044,0.345,0.002,0.000,0.345,-0.000,0.000,0.000,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184606,-1.187,0.726,-9.213,-0.039,-0.013,0.044,-0.001,-0.000,0.001,0.003,0.044,0.345,0.003,0.000,0.345,-0.001,0.000,0.001,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184617,-1.083,0.669,-9.196,-0.026,0.001,0.051,-0.001,-0.000,0.002,0.003,0.044,0.361,0.004,0.000,0.361,-0.001,-0.000,0.001,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184628,-1.219,0.701,-9.479,-0.023,-0.021,0.060,-0.002,-0.000,0.002,0.003,0.044,0.345,0.004,0.000,0.361,-0.001,-0.000,0.002,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184639,-1.163,0.755,-9.164,-0.033,-0.040,0.057,-0.002,-0.001,0.003,0.003,0.044,0.361,0.005,0.000,0.361,-0.002,-0.000,0.002,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184650,-1.289,0.711,-9.363,-0.027,-0.037,0.057,-0.002,-0.001,0.004,0.003,0.044,0.361,0.006,0.000,0.345,-0.002,-0.001,0.003,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184661,-1.155,0.858,-9.326,-0.036,-0.039,0.046,-0.003,-0.002,0.004,0.003,0.044,0.361,0.007,0.000,0.345,-0.002,-0.001,0.004,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184672,-1.058,1.194,-9.452,-0.063,-0.055,0.060,-0.003,-0.002,0.005,0.003,0.044,0.361,0.008,0.000,0.345,-0.003,-0.002,0.004,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184683,-1.327,0.998,-9.241,-0.096,-0.066,0.057,-0.004,-0.003,0.005,0.003,0.044,0.313,0.009,0.000,0.345,-0.003,-0.002,0.005,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
