Time, Accel X [mg],Accel Y [mg],Accel Z [mg],dRoll [rad/s],dPitch [rad/s],dHeading [rad/s],Roll [rad],Pitch [rad],Yaw [rad],Frequency Reader Frequency [Hz],Calibrated Velocity [m/s],Pressure Sensor Depth [m],State Estimator X [m],State Estimator Y [m],State Estimator Z [m],State Estimator Roll [rad],State Estimator Pitch [rad],State Estimator Yaw [rad],Motor A,Motor B,Motor C,Motor D,Motor E,Servo Angle [rad],Waypoint X [m],Waypoint Y [m],Waypoint Z [m],Waiting [bool]
94621,4.825,-1.806,0.885,-0.309,-0.046,0.280,-0.003,-0.000,0.003,0.005,0.044,-0.074,0.001,0.000,-0.074,0.000,0.000,0.000,0,0,242,0,242,1.275,0.000,0.000,1.000,1.000
94632,4.577,-1.877,0.692,-0.325,-0.005,0.244,-0.006,-0.000,0.005,0.005,0.044,-0.090,0.002,0.000,-0.074,-0.003,-0.000,0.003,0,0,242,0,242,1.277,0.000,0.000,1.000,1.000
94643,4.872,-1.810,0.652,-0.340,0.029,0.198,-0.010,-0.000,0.007,0.005,0.044,-0.058,0.003,0.000,-0.090,-0.006,-0.000,0.005,0,0,242,0,242,1.279,0.000,0.000,1.000,1.000
94654,4.591,-1.594,0.607,-0.335,0.077,0.161,-0.013,0.001,0.009,0.005,0.044,-0.090,0.004,0.000,-0.090,-0.010,-0.000,0.007,0,0,242,0,242,1.280,0.000,0.000,1.000,1.000
94665,4.685,-1.466,0.656,-0.337,0.115,0.123,-0.016,0.002,0.010,0.005,0.044,-0.090,0.005,0.000,-0.074,-0.013,0.001,0.009,0,0,242,0,242,1.281,0.000,0.000,1.000,1.000
94676,4.726,-1.251,0.817,-0.330,0.160,0.097,-0.020,0.003,0.011,0.005,0.044,-0.074,0.006,0.000,-0.090,-0.016,0.002,0.010,0,0,242,0,242,1.282,0.000,0.000,1.000,1.000
94687,4.754,-1.325,0.756,-0.331,0.183,0.057,-0.023,0.005,0.012,0.005,0.044,-0.074,0.007,0.000,-0.090,-0.020,0.003,0.011,0,0,242,0,242,1.283,0.000,0.000,1.000,1.000
94698,5.015,-1.247,0.909,-0.315,0.219,0.039,-0.026,0.007,0.012,0.005,0.044,-0.074,0.008,0.000,-0.074,-0.023,0.005,0.012,0,0,242,0,242,1.283,0.000,0.000,1.000,1.000
94709,5.231,-0.987,0.982,-0.286,0.225,0.024,-0.029,0.010,0.012,0.005,0.044,-0.074,0.009,0.000,-0.058,-0.026,0.007,0.012,0,0,242,0,242,1.283,0.000,0.000,1.000,1.000
94720,5.541,-0.707,1.207,-0.264,0.213,0.027,-0.032,0.012,0.013,0.005,0.044,-0.090,0.010,0.000,-0.090,-0.029,0.010,0.012,0,0,242,0,242,1.284,0.000,0.000,1.000,1.000
94731,5.317,-0.333,1.292,-0.224,0.183,0.045,-0.034,0.014,0.013,0.005,0.044,-0.090,0.011,0.000,-0.074,-0.032,0.012,0.013,0,0,242,0,242,1.284,0.000,0.000,1.000,1.000
94742,5.013,-0.153,1.198,-0.176,0.158,0.083,-0.036,0.015,0.014,0.005,0.044,-0.074,0.012,0.000,-0.090,-0.034,0.014,0.013,0,0,242,0,242,1.284,0.000,0.000,1.000,1.000
94753,5.101,0.133,1.304,-0.130,0.160,0.127,-0.037,0.017,0.015,0.005,0.044,-0.090,0.013,0.000,-0.074,-0.036,0.015,0.014,0,0,242,0,242,1.285,0.000,0.000,1.000,1.000
94764,5.288,0.095,1.782,-0.096,0.153,0.180,-0.038,0.018,0.017,0.005,0.044,-0.074,0.014,0.000,-0.074,-0.037,0.017,0.015,0,0,242,0,242,1.286,0.000,0.000,1.000,1.000
94775,5.051,-1.067,2.169,-0.070,0.109,0.216,-0.039,0.019,0.019,0.005,0.044,-0.074,0.015,0.000,-0.090,-0.038,0.018,0.017,0,0,242,0,242,1.287,0.000,0.000,1.000,1.000
94786,4.960,-0.954,2.471,-0.097,0.028,0.202,-0.040,0.020,0.021,0.005,0.044,-0.090,0.016,0.000,-0.074,-0.039,0.019,0.019,0,0,242,0,242,1.288,0.000,0.000,1.000,1.000
94797,4.938,-0.906,2.596,-0.121,-0.035,0.165,-0.041,0.019,0.023,0.005,0.044,-0.090,0.017,0.000,-0.090,-0.040,0.020,0.021,0,0,242,0,242,1.290,0.000,0.000,1.000,1.000
94808,4.893,-1.289,2.642,-0.154,-0.101,0.136,-0.042,0.018,0.024,0.005,0.044,-0.074,0.018,0.000,-0.074,-0.041,0.019,0.023,0,0,242,0,242,1.291,0.000,0.000,1.000,1.000
94819,5.007,-1.020,2.614,-0.209,-0.151,0.105,-0.045,0.017,0.025,0.005,0.044,-0.074,0.019,0.000,-0.090,-0.042,0.018,0.024,0,0,242,0,242,1.292,0.000,0.000,1.000,1.000
94830,4.823,-0.850,2.338,-0.252,-0.198,0.082,-0.047,0.015,0.026,0.005,0.044,-0.090,0.019,0.000,-0.090,-0.045,0.017,0.025,0,0,242,0,242,1.293,0.000,0.000,1.000,1.000
94841,4.658,-1.048,2.150,-0.274,-0.226,0.065,-0.050,0.013,0.027,0.005,0.044,-0.074,0.021,0.000,-0.090,-0.047,0.015,0.026,0,0,242,0,242,1.293,0.000,0.000,1.000,1.000
94852,4.794,-0.903,2.241,-0.300,-0.231,0.043,-0.053,0.010,0.027,0.005,0.044,-0.090,0.022,0.000,-0.090,-0.050,0.013,0.027,0,0,242,0,242,1.294,0.000,0.000,1.000,1.000
94863,4.524,-0.811,2.015,-0.304,-0.246,0.012,-0.056,0.008,0.027,0.005,0.044,-0.090,0.023,0.000,-0.090,-0.053,0.010,0.027,0,0,242,0,242,1.294,0.000,0.000,1.000,1.000
94874,4.565,-0.939,1.604,-0.263,-0.222,-0.067,-0.058,0.006,0.026,0.005,0.044,-0.074,0.023,0.000,-0.074,-0.056,0.008,0.027,0,0,242,0,242,1.294,0.000,0.000,1.000,1.000
94885,4.500,-0.945,1.604,-0.236,-0.204,-0.109,-0.061,0.003,0.025,0.005,0.044,-0.074,0.025,0.000,-0.074,-0.058,0.006,0.026,0,0,242,0,242,1.294,0.000,0.000,1.000,1.000
94896,4.446,-1.097,1.496,-0.202,-0.194,-0.142,-0.063,0.002,0.024,0.005,0.044,-0.106,0.026,0.000,-0.090,-0.061,0.003,0.025,0,0,242,0,242,1.293,0.000,0.000,1.000,1.000
94907,4.748,-1.001,1.267,-0.180,-0.172,-0.166,-0.065,-0.000,0.022,0.005,0.044,-0.058,0.026,0.000,-0.090,-0.063,0.002,0.024,0,0,242,0,242,1.292,0.000,0.000,1.000,1.000
94918,4.751,-1.131,1.198,-0.155,-0.150,-0.187,-0.066,-0.002,0.020,0.005,0.044,-0.074,0.027,0.000,-0.074,-0.065,-0.000,0.022,0,0,242,0,242,1.291,0.000,0.000,1.000,1.000
94929,4.944,-1.567,1.332,-0.136,-0.145,-0.206,-0.068,-0.003,0.018,0.005,0.044,-0.074,0.029,0.000,-0.090,-0.066,-0.002,0.020,0,0,242,0,242,1.289,0.000,0.000,1.000,1.000
94940,5.391,-1.488,1.352,-0.133,-0.156,-0.225,-0.069,-0.005,0.016,0.005,0.044,-0.090,0.029,0.001,-0.074,-0.068,-0.003,0.018,0,0,242,0,242,1.288,0.000,0.000,1.000,1.000
94951,5.087,-1.689,1.116,-0.127,-0.175,-0.244,-0.070,-0.006,0.014,0.005,0.044,-0.074,0.030,0.001,-0.090,-0.069,-0.005,0.016,0,0,242,0,242,1.286,0.000,0.000,1.000,1.000
94962,4.539,-1.834,0.292,-0.107,-0.116,-0.335,-0.071,-0.008,0.010,0.005,0.044,-0.074,0.032,0.001,-0.074,-0.070,-0.006,0.014,0,0,242,0,242,1.285,0.000,0.000,1.000,1.000
94973,4.544,-1.424,0.022,-0.104,-0.039,-0.375,-0.072,-0.008,0.007,0.005,0.044,-0.074,0.032,0.001,-0.090,-0.071,-0.008,0.010,0,0,242,0,242,1.282,0.000,0.000,1.000,1.000
94984,4.690,-0.666,-0.080,-0.064,0.038,-0.376,-0.073,-0.008,0.003,0.005,0.044,-0.074,0.033,0.001,-0.090,-0.072,-0.008,0.007,0,0,242,0,242,1.280,0.000,0.000,1.000,1.000
94995,5.536,0.078,0.463,-0.005,0.093,-0.318,-0.073,-0.007,-0.000,0.005,0.044,-0.090,0.034,0.001,-0.090,-0.073,-0.008,0.003,0,0,242,0,242,1.277,0.000,0.000,1.000,1.000
95006,6.065,0.247,1.011,0.058,0.075,-0.227,-0.072,-0.006,-0.003,0.005,0.044,-0.074,0.035,0.001,-0.074,-0.073,-0.007,-0.000,0,0,242,0,242,1.275,0.000,0.000,1.000,1.000
95017,6.477,-0.512,1.752,0.107,-0.016,-0.123,-0.071,-0.006,-0.004,0.005,0.044,-0.090,0.036,0.001,-0.074,-0.072,-0.006,-0.003,0,0,242,0,242,1.273,0.000,0.000,1.000,1.000
95028,6.952,-0.579,2.087,0.120,-0.167,-0.040,-0.070,-0.008,-0.004,0.005,0.044,-0.074,0.037,0.001,-0.090,-0.071,-0.006,-0.004,0,0,242,0,242,1.273,0.000,0.000,1.000,1.000
95039,6.629,-0.278,1.969,0.132,-0.336,0.037,-0.069,-0.011,-0.004,0.005,0.044,-0.090,0.038,0.001,-0.074,-0.070,-0.008,-0.004,0,0,242,0,242,1.272,0.000,0.000,1.000,1.000
95050,5.831,-0.133,2.243,0.155,-0.607,0.138,-0.067,-0.017,-0.003,0.005,0.044,-0.074,0.039,0.001,-0.058,-0.069,-0.011,-0.004,0,0,242,0,242,1.273,0.000,0.000,1.000,1.000
95061,5.258,0.257,2.213,0.159,-0.699,0.192,-0.066,-0.024,-0.001,0.005,0.044,-0.074,0.040,0.001,-0.074,-0.067,-0.017,-0.003,0,0,242,0,242,1.273,0.000,0.000,1.000,1.000
95072,4.393,-0.046,2.199,0.176,-0.757,0.227,-0.064,-0.032,0.002,0.005,0.044,-0.090,0.041,0.001,-0.074,-0.066,-0.024,-0.001,0,0,242,0,242,1.275,0.000,0.000,1.000,1.000
95083,4.137,-0.279,2.174,0.170,-0.773,0.233,-0.062,-0.039,0.004,0.005,0.044,-0.074,0.042,0.001,-0.074,-0.064,-0.032,0.002,0,0,242,0,242,1.276,0.000,0.000,1.000,1.000
95094,3.651,-0.642,2.129,0.150,-0.759,0.194,-0.061,-0.047,0.006,0.005,0.044,-0.074,0.043,0.001,-0.074,-0.062,-0.039,0.004,0,0,242,0,242,1.278,0.000,0.000,1.000,1.000
95105,3.340,-0.928,2.028,0.130,-0.739,0.115,-0.059,-0.054,0.007,0.005,0.044,-0.074,0.044,0.001,-0.074,-0.061,-0.047,0.006,0,0,242,0,242,1.279,0.000,0.000,1.000,1.000
95116,3.715,-1.226,1.887,0.098,-0.711,0.028,-0.058,-0.062,0.007,0.005,0.044,-0.074,0.045,0.001,-0.074,-0.059,-0.054,0.007,0,0,242,0,242,1.280,0.000,0.000,1.000,1.000
95127,3.989,-0.792,1.789,0.056,-0.684,-0.045,-0.058,-0.068,0.007,0.005,0.044,-0.090,0.046,0.001,-0.074,-0.058,-0.062,0.007,0,0,242,0,242,1.280,0.000,0.000,1.000,1.000
95138,3.369,-0.948,0.710,0.040,-0.577,-0.130,-0.057,-0.074,0.006,0.005,0.044,-0.090,0.047,0.001,-0.090,-0.058,-0.068,0.007,0,0,242,0,242,1.280,0.000,0.000,1.000,1.000
95149,3.309,-0.843,0.431,0.041,-0.470,-0.187,-0.057,-0.079,0.004,1.695,0.096,-0.074,0.049,0.001,-0.090,-0.057,-0.074,0.006,0,0,242,0,242,1.279,0.000,0.000,1.000,1.000
